t, reading 
1765.9,573
1765.95,684
1766,704
1766.05,611
1766.1,564
1766.15,555
1766.2,574
1766.25,609
1766.3,626
1766.35,629
1766.4,623
1766.45,618
1766.5,614
1766.55,601
1766.6,626
1766.65,616
1766.7,632
1766.75,961
1766.8,967
1766.85,668
1766.9,536
1766.95,568
1767,553
1767.05,641
1767.1,712
1767.15,638
1767.2,559
1767.25,547
1767.3,571
1767.35,598
1767.4,613
1767.45,624
1767.5,626
1767.55,619
1767.6,615
1767.65,614
