t, reading 
26.89100, 553.00000
26.94100, 443.00000
26.99100, 460.00000
27.40000, 592.00000
27.91000, 901.00000
27.14100, 754.00000
27.19100, 300.00000
27.24100, 384.00000
27.29100, 425.00000
27.34000, 483.00000
27.39100, 539.00000
27.44100, 530.00000
27.49100, 509.00000
27.54100, 434.00000
27.59100, 413.00000
27.64000, 552.00000
27.69100, 571.00000
27.74100, 418.00000
27.79100, 473.00000
27.84100, 681.00000
27.89100, 901.00000
27.94000, 521.00000
27.99100, 322.00000
28.41000, 393.00000
28.91000, 511.00000
28.14100, 470.00000
28.19100, 508.00000
28.24000, 470.00000
28.29100, 470.00000
28.34100, 376.00000
28.39100, 435.00000
28.44100, 509.00000
28.49100, 558.00000
28.54100, 428.00000
28.59100, 483.00000
28.64100, 901.00000
28.69100, 892.00000
28.74100, 423.00000
28.79100, 300.00000
28.84100, 328.00000
28.89100, 575.00000
28.94100, 560.00000
28.99100, 486.00000
29.41000, 470.00000
29.91000, 489.00000
29.14100, 489.00000
29.19100, 411.00000
29.24100, 560.00000
29.29100, 574.00000
29.34100, 454.00000
29.39100, 547.00000
29.44100, 872.00000
29.49100, 721.00000
29.54100, 355.00000
29.59100, 316.00000
29.64100, 489.00000
29.69200, 433.00000
29.74100, 524.00000
29.79100, 394.00000
29.84100, 459.00000
29.89100, 350.00000
29.94100, 420.00000
29.99200, 395.00000
30.41000, 404.00000
30.91000, 521.00000
30.14100, 400.00000
30.19100, 808.00000
30.24100, 859.00000
30.29200, 457.00000
30.34100, 331.00000
30.39100, 506.00000
30.44100, 507.00000
30.49100, 491.00000
30.54100, 508.00000
30.59200, 596.00000
30.64100, 489.00000
30.69100, 355.00000
30.74100, 432.00000
30.79100, 581.00000
30.84100, 527.00000
30.89200, 415.00000
30.94100, 453.00000
30.99100, 717.00000
31.41000, 841.00000
31.91000, 442.00000
31.14100, 306.00000
31.19200, 495.00000
31.24100, 532.00000
31.29100, 483.00000
31.34100, 499.00000
31.39100, 583.00000
31.44200, 462.00000
31.49200, 360.00000
31.54100, 428.00000
31.59100, 612.00000
31.64100, 568.00000
31.69100, 422.00000
31.74200, 507.00000
31.79200, 901.00000
31.84100, 763.00000
