t, reading, imuVal 
29.28900, 508.00000, -17546.00000
29.33900, 514.00000, -15678.00000
29.39000, 507.00000, -15912.00000
29.43900, 514.00000, -14512.00000
29.48900, 511.00000, -14274.00000
29.53900, 509.00000, -13664.00000
29.58900, 521.00000, -14632.00000
29.63900, 510.00000, -18270.00000
29.69000, 518.00000, -28920.00000
29.73900, 511.00000, -19656.00000
29.78900, 557.00000, -14248.00000
29.83900, 502.00000, -14182.00000
29.88900, 503.00000, -16956.00000
29.93900, 521.00000, -17922.00000
29.99000, 528.00000, -18544.00000
30.03900, 518.00000, -17518.00000
30.08900, 502.00000, -16146.00000
30.13900, 505.00000, -16990.00000
30.18900, 526.00000, -15906.00000
30.24000, 520.00000, -14590.00000
30.29000, 514.00000, -14352.00000
30.33900, 521.00000, -13590.00000
30.38900, 524.00000, -22314.00000
30.43900, 515.00000, -28068.00000
30.48900, 467.00000, -18490.00000
30.54000, 516.00000, -10624.00000
30.59000, 521.00000, -12698.00000
30.63900, 534.00000, -18694.00000
30.68900, 549.00000, -17740.00000
30.73900, 529.00000, -15024.00000
30.78900, 534.00000, -12434.00000
30.84000, 520.00000, -14552.00000
30.89000, 524.00000, -15888.00000
30.93900, 529.00000, -14948.00000
30.98900, 529.00000, -14476.00000
31.03900, 524.00000, -16802.00000
31.08900, 533.00000, -24244.00000
31.14000, 531.00000, -18728.00000
31.19000, 522.00000, -15134.00000
31.23900, 487.00000, -13548.00000
31.28900, 531.00000, -12916.00000
31.33900, 520.00000, -13800.00000
31.38900, 527.00000, -15384.00000
31.44000, 513.00000, -18488.00000
31.49000, 531.00000, -17874.00000
31.53900, 524.00000, -17552.00000
31.58900, 519.00000, -14954.00000
31.63900, 523.00000, -13730.00000
31.69000, 526.00000, -14128.00000
31.74000, 516.00000, -17124.00000
31.79000, 528.00000, -19640.00000
31.83900, 523.00000, -22238.00000
31.88900, 524.00000, -19750.00000
31.93900, 506.00000, -13602.00000
31.99000, 529.00000, -10858.00000
32.04000, 529.00000, -14844.00000
32.09000, 532.00000, -19418.00000
32.13900, 495.00000, -19966.00000
32.18900, 528.00000, -15002.00000
32.23900, 508.00000, -13282.00000
32.29000, 525.00000, -13164.00000
32.34000, 521.00000, -12454.00000
32.39000, 530.00000, -15146.00000
32.43900, 523.00000, -17256.00000
32.48900, 521.00000, -23690.00000
32.53900, 517.00000, -27198.00000
32.59000, 521.00000, -13856.00000
32.64000, 532.00000, -8878.00000
32.69000, 527.00000, -12896.00000
32.73900, 524.00000, -18282.00000
32.78900, 529.00000, -24006.00000
32.83900, 519.00000, -18852.00000
32.89000, 521.00000, -13326.00000
32.94000, 528.00000, -13166.00000
32.98900, 527.00000, -13738.00000
33.03900, 528.00000, -15022.00000
33.08900, 524.00000, -16278.00000
33.13900, 522.00000, -21412.00000
33.19000, 486.00000, -23820.00000
33.24000, 487.00000, -13474.00000
33.28900, 529.00000, -10180.00000
33.33900, 522.00000, -13692.00000
33.38900, 531.00000, -19066.00000
33.44000, 522.00000, -19000.00000
33.49000, 520.00000, -17532.00000
33.54000, 527.00000, -15378.00000
33.58900, 522.00000, -14550.00000
33.63900, 528.00000, -13570.00000
33.68900, 520.00000, -13882.00000
33.74000, 522.00000, -14260.00000
33.79000, 536.00000, -22558.00000
33.84000, 523.00000, -25424.00000
33.88900, 526.00000, -14216.00000
33.93900, 521.00000, -11104.00000
33.98900, 530.00000, -15300.00000
34.04000, 522.00000, -19662.00000
34.09000, 519.00000, -19474.00000
34.14000, 514.00000, -17204.00000
34.18900, 517.00000, -15276.00000
34.23900, 520.00000, -16442.00000
34.28900, 541.00000, -16528.00000
34.34000, 528.00000, -15880.00000
34.39000, 528.00000, -13672.00000
34.44000, 532.00000, -12128.00000
34.48900, 523.00000, -15068.00000
34.53900, 524.00000, -25630.00000
34.58900, 514.00000, -29056.00000
34.64000, 515.00000, -17344.00000
34.69000, 484.00000, -11424.00000
34.74000, 530.00000, -10642.00000
34.78900, 497.00000, -15944.00000
34.83900, 508.00000, -17176.00000
34.89000, 517.00000, -16966.00000
34.94000, 522.00000, -17058.00000
34.99000, 512.00000, -13196.00000
35.04000, 510.00000, -12110.00000
35.08900, 499.00000, -12048.00000
35.13900, 520.00000, -13038.00000
35.19000, 510.00000, -16108.00000
35.24000, 509.00000, -24032.00000
35.29000, 520.00000, -21312.00000
35.34000, 523.00000, -18526.00000
35.38900, 523.00000, -16590.00000
35.43900, 519.00000, -13520.00000
35.49000, 520.00000, -14292.00000
35.54000, 521.00000, -17054.00000
35.59000, 519.00000, -19304.00000
35.64000, 524.00000, -18166.00000
35.68900, 515.00000, -15728.00000
35.73900, 524.00000, -13886.00000
35.79000, 524.00000, -13174.00000
35.84000, 519.00000, -15198.00000
35.89000, 497.00000, -19996.00000
35.94000, 510.00000, -22734.00000
35.98900, 545.00000, -17098.00000
36.03900, 526.00000, -14152.00000
36.09000, 533.00000, -14142.00000
36.14000, 533.00000, -11318.00000
36.19000, 533.00000, -12692.00000
36.24000, 522.00000, -17668.00000
36.28900, 512.00000, -17808.00000
36.33900, 523.00000, -14558.00000
36.39000, 532.00000, -14806.00000
36.44000, 499.00000, -15838.00000
36.49000, 509.00000, -17130.00000
36.54000, 518.00000, -16940.00000
36.58900, 538.00000, -24378.00000
36.64000, 551.00000, -18010.00000
36.69000, 541.00000, -13660.00000
36.74000, 504.00000, -10772.00000
36.79000, 523.00000, -10414.00000
36.84000, 547.00000, -13532.00000
36.88900, 538.00000, -17930.00000
36.94000, 541.00000, -21478.00000
36.99000, 533.00000, -18890.00000
37.04000, 525.00000, -15598.00000
37.09000, 524.00000, -12458.00000
37.14000, 532.00000, -12828.00000
37.18900, 534.00000, -17446.00000
37.24000, 535.00000, -24154.00000
37.29000, 520.00000, -23042.00000
37.34000, 530.00000, -13912.00000
37.39000, 532.00000, -8140.00000
37.44000, 528.00000, -9794.00000
37.48900, 525.00000, -15350.00000
37.54000, 524.00000, -21276.00000
37.59000, 524.00000, -17724.00000
37.64000, 522.00000, -15638.00000
37.69000, 521.00000, -12896.00000
37.74000, 520.00000, -11568.00000
37.78900, 528.00000, -11688.00000
37.84000, 534.00000, -20384.00000
37.89000, 528.00000, -30116.00000
37.94000, 531.00000, -23922.00000
37.99000, 536.00000, -15446.00000
38.04000, 530.00000, -12584.00000
38.09000, 533.00000, -12492.00000
38.14000, 535.00000, -16778.00000
38.19000, 496.00000, -16490.00000
38.24000, 517.00000, -14524.00000
38.29000, 545.00000, -11796.00000
38.34000, 510.00000, -11450.00000
38.39000, 522.00000, -12854.00000
38.44000, 547.00000, -22448.00000
38.49000, 531.00000, -24196.00000
38.54000, 543.00000, -20170.00000
38.59000, 537.00000, -12336.00000
38.64000, 539.00000, -12292.00000
38.69000, 528.00000, -13686.00000
38.74000, 524.00000, -16278.00000
38.79000, 530.00000, -16804.00000
38.84000, 529.00000, -16600.00000
38.89000, 502.00000, -14216.00000
38.94000, 519.00000, -12442.00000
38.99000, 530.00000, -11862.00000
39.04000, 530.00000, -17922.00000
39.09000, 522.00000, -27122.00000
39.14000, 520.00000, -19740.00000
39.19000, 486.00000, -15528.00000
39.24000, 501.00000, -13340.00000
39.29000, 469.00000, -12862.00000
39.34000, 466.00000, -18994.00000
39.39000, 522.00000, -18754.00000
39.44000, 500.00000, -17556.00000
39.49000, 512.00000, -14988.00000
39.54100, 532.00000, -13192.00000
39.59000, 530.00000, -12796.00000
39.64000, 457.00000, -15714.00000
39.69000, 523.00000, -24728.00000
39.74000, 522.00000, -19238.00000
39.79000, 503.00000, -11568.00000
39.84100, 531.00000, -10958.00000
39.89000, 520.00000, -18302.00000
39.94000, 512.00000, -18246.00000
39.99000, 527.00000, -17250.00000
40.04000, 516.00000, -14126.00000
40.09000, 500.00000, -14514.00000
40.14100, 515.00000, -14238.00000
40.19000, 516.00000, -13452.00000
40.24000, 478.00000, -14874.00000
40.29000, 514.00000, -15560.00000
40.34000, 513.00000, -25330.00000
40.39000, 479.00000, -20642.00000
40.44100, 507.00000, -17014.00000
40.49000, 499.00000, -16120.00000
40.54000, 480.00000, -16544.00000
40.59000, 510.00000, -16812.00000
40.64000, 514.00000, -18908.00000
40.69000, 483.00000, -18032.00000
40.74100, 506.00000, -14430.00000
40.79000, 517.00000, -14782.00000
40.84000, 481.00000, -14250.00000
40.89000, 483.00000, -15278.00000
40.94000, 519.00000, -18200.00000
40.99000, 491.00000, -24402.00000
41.04100, 525.00000, -24138.00000
41.09000, 517.00000, -17744.00000
41.14000, 530.00000, -12484.00000
41.19000, 533.00000, -10488.00000
41.24000, 525.00000, -11152.00000
41.29100, 521.00000, -17240.00000
41.34100, 525.00000, -20270.00000
41.39000, 518.00000, -17366.00000
41.44000, 520.00000, -14190.00000
41.49000, 494.00000, -14618.00000
41.54000, 489.00000, -14704.00000
41.59100, 524.00000, -14962.00000
41.64100, 522.00000, -14976.00000
41.69000, 516.00000, -19330.00000
41.74000, 471.00000, -23678.00000
41.79000, 535.00000, -16094.00000
41.84000, 525.00000, -14480.00000
41.89100, 519.00000, -12442.00000
41.94100, 538.00000, -14148.00000
41.99000, 516.00000, -16016.00000
42.04000, 527.00000, -18380.00000
42.09000, 502.00000, -17774.00000
42.14000, 480.00000, -15322.00000
42.19100, 525.00000, -12608.00000
42.24100, 531.00000, -13932.00000
42.29000, 522.00000, -16846.00000
42.34000, 522.00000, -26414.00000
42.39000, 519.00000, -23386.00000
42.44000, 525.00000, -13416.00000
42.49100, 526.00000, -9912.00000
42.54100, 457.00000, -11790.00000
42.59000, 528.00000, -15202.00000
42.64000, 524.00000, -17422.00000
42.69000, 501.00000, -16920.00000
42.74100, 533.00000, -13520.00000
42.79100, 496.00000, -12012.00000
42.84100, 529.00000, -12138.00000
42.89000, 527.00000, -15316.00000
42.94000, 527.00000, -25324.00000
42.99000, 523.00000, -26622.00000
43.04100, 525.00000, -15798.00000
43.09100, 524.00000, -9966.00000
43.14100, 529.00000, -9836.00000
43.19000, 532.00000, -15590.00000
43.24000, 523.00000, -22728.00000
43.29000, 528.00000, -21770.00000
43.34100, 507.00000, -16734.00000
43.39100, 531.00000, -12662.00000
43.44100, 481.00000, -11014.00000
43.49000, 529.00000, -14736.00000
43.54000, 526.00000, -21160.00000
43.59000, 528.00000, -27642.00000
43.64100, 537.00000, -15986.00000
43.69100, 536.00000, -10570.00000
43.74100, 533.00000, -10532.00000
43.79000, 529.00000, -17492.00000
43.84000, 528.00000, -19622.00000
43.89000, 522.00000, -18606.00000
43.94100, 528.00000, -14738.00000
43.99100, 528.00000, -12416.00000
44.04100, 532.00000, -11390.00000
44.09000, 526.00000, -11964.00000
44.14000, 524.00000, -14912.00000
44.19000, 527.00000, -28260.00000
44.24100, 529.00000, -22252.00000
44.29100, 525.00000, -16274.00000
44.34100, 484.00000, -12828.00000
44.39000, 522.00000, -11452.00000
44.44000, 531.00000, -16894.00000
44.49100, 528.00000, -18870.00000
44.54100, 523.00000, -18768.00000
44.59100, 521.00000, -15982.00000
44.64100, 525.00000, -14740.00000
44.69000, 519.00000, -13962.00000
44.74000, 512.00000, -14126.00000
44.79100, 527.00000, -17078.00000
44.84100, 501.00000, -26542.00000
44.89100, 524.00000, -22952.00000
44.94100, 498.00000, -16402.00000
44.99000, 531.00000, -7064.00000
