t, reading 
106.90500, 493.04222
106.95500, 451.57558
107.60000, 466.31499
107.55000, 504.73068
107.10500, 575.00417
107.15500, 674.28226
107.20500, 696.82482
107.25500, 574.97195
107.30600, 423.56641
107.35500, 393.56184
107.40500, 485.26717
107.45500, 570.02910
107.50500, 556.31540
107.55500, 486.37536
107.60600, 450.25051
107.65500, 468.76769
107.70500, 505.14831
107.75500, 565.07346
107.80500, 665.16186
107.85500, 706.41349
107.90600, 599.75693
107.95500, 446.91244
108.50000, 404.71119
108.55000, 485.71406
108.10500, 567.39140
108.15600, 552.96726
108.20600, 477.20535
108.25500, 430.65444
108.30500, 445.76576
108.35500, 484.05063
108.40500, 518.93058
108.45600, 588.29726
108.50600, 682.87633
108.55500, 683.08788
108.60500, 548.99407
108.65500, 415.63664
108.70500, 405.87088
108.75600, 490.51727
108.80600, 551.45599
108.85500, 528.79632
108.90500, 473.79041
108.95500, 449.80581
109.50000, 461.33952
109.56000, 483.98090
109.10600, 495.76017
109.15500, 516.41826
109.20500, 601.59463
109.25500, 704.48997
109.30500, 681.04692
109.35600, 525.75175
109.40600, 399.18009
109.45500, 406.26347
109.50500, 495.38446
109.55500, 549.02730
109.60500, 518.56418
109.65600, 458.54325
109.70600, 435.53204
109.75500, 452.74520
109.80500, 475.60801
109.85500, 485.37244
109.90600, 483.02482
109.95600, 512.14220
110.60000, 627.13822
110.55000, 728.40258
110.10500, 656.05154
110.15500, 467.11425
110.20600, 356.92896
110.25600, 405.38764
110.30600, 516.68422
110.35500, 554.19006
110.40500, 497.73384
110.45500, 427.90775
110.50600, 409.97653
110.55600, 440.18264
110.60600, 471.39972
110.65500, 476.85205
110.70500, 467.94221
110.75500, 483.93410
110.80600, 588.06875
110.85600, 738.86568
110.90600, 747.42775
110.95500, 560.64439
111.50000, 372.07800
111.55000, 351.45074
111.10600, 467.18096
111.15600, 563.50177
111.20600, 544.50188
111.25500, 461.98374
111.30500, 408.37487
